"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"NEXT50IETF","Nifty Next 50","66.30","66.30","64.30","65.55","65.95","-","0.40","0.61","8,91,331","5.79","65.49","81.64","58.70",3.15,"09-May-2024","-0.71","09-Apr-2025"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","93.54","94.33","93.50","93.54","94.10","-","0.56","0.60","1,53,581","1.44","93.07","100.00","79.50",5.33,"09-May-2024","13.74","09-Apr-2025"
"LICNFNHGP","Nifty 100","269.75","270.95","264.56","268.40","269.92","-","1.52","0.57","616","0.02","266.80","325.00","240.00",6.55,"09-May-2024","9.30","09-Apr-2025"
"MID150","Nifty Midcap 150 Index","19.70","19.92","19.49","19.81","19.92","-","0.11","0.56","9,620","0.02","-","22.95","17.98","-","-","-","-"
"MID150BEES","Nifty Midcap 150 TRI","199.99","202.11","195.01","200.99","202.09","-","1.10","0.55","12,08,722","24.20","201.30","235.65","179.00",7.24,"09-May-2024","7.52","09-Apr-2025"
"HDFCSML250","HDFC NIFTY Smallcap 250 ETF","151.00","153.00","148.71","152.12","152.95","-","0.83","0.55","21,78,964","32.79","152.36","189.95","135.21",5.03,"09-May-2024","0.27","09-Apr-2025"
"SBISILVER","SBI SILVER ETF","94.99","96.34","94.37","94.78","95.28","-","0.50","0.53","1,00,023","0.96","94.79","103.05","79.07",6.04,"-","-","09-Apr-2025"
"SILVERCASE","Commodity-Silver","10.00","10.67","9.78","9.85","9.90","-","0.05","0.51","3,87,131","0.38","15.34","10.99","9.00","-","-","-","-"
"ABGSEC","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","109.47","109.98","108.70","109.44","109.92","-","0.48","0.44","1,080","0.01","109.38","120.00","99.66",1.77,"-","-","09-Apr-2025"
"AXISTECETF","NIFTY IT Index","381.24","387.00","381.24","385.40","387.00","-","1.60","0.42","3,885","0.15","385.99","498.96","333.05",10.37,"09-May-2024","9.93","09-Apr-2025"
"SILVER","Physical price of Silver","96.42","97.96","96.26","96.42","96.82","-","0.40","0.41","3,21,817","3.12","96.33","104.55","80.00",5.93,"09-May-2024","16.20","09-Apr-2025"
"SILVERIETF","Domestic Price of Silver","96.50","96.94","95.81","96.30","96.69","-","0.39","0.40","16,32,070","15.77","96.24","101.85","80.05",5.48,"09-May-2024","15.39","09-Apr-2025"
"LOWVOL1","Kotak Nifty 100 Low Vol 30 ETF","20.17","20.76","18.81","20.17","20.25","-","0.08","0.40","6,36,909","1.26","19.93","23.41","17.52",4.31,"09-May-2024","7.88","09-Apr-2025"
"SILVER1","Kotak Silver ETF","93.01","94.55","93.01","93.70","94.05","-","0.35","0.37","2,52,881","2.38","93.72","111.00","77.90",5.62,"09-May-2024","15.50","09-Apr-2025"
"SILVERBEES","Domestic price of Silver- based on LBMA Silver daily spot fixing price","92.59","93.22","92.34","92.59","92.90","-","0.31","0.33","54,63,663","50.80","92.62","100.00","76.70",5.75,"09-May-2024","15.49","09-Apr-2025"
"EMULTIMQ","Nifty500 Multicap Momentum Quality 50 Total Return Index","39.03","39.15","38.24","39.03","39.15","-","0.12","0.31","43,744","0.17","38.84","53.90","34.71",9.6,"-","-","09-Apr-2025"
"HEALTHY","Nifty Healthcare TRI","13.99","14.05","13.17","14.01","14.05","-","0.04","0.29","1,66,628","0.23","14.01","15.75","11.70",4.32,"09-May-2024","17.55","09-Apr-2025"
"MOMOMENTUM","Nifty 200 Momentum 30 Total Return Index","58.48","58.77","57.30","58.49","58.65","-","0.16","0.27","1,23,418","0.72","58.99","78.50","51.21",9.76,"09-May-2024","-9.88","09-Apr-2025"
"MIDCAPIETF","Nifty Midcap 150","20.05","20.14","19.66","20.09","20.14","-","0.05","0.25","10,29,321","2.05","20.12","23.70","17.80",6.97,"09-May-2024","-89.24","09-Apr-2025"
"METALIETF","Nifty Metal Index","8.41","8.46","8.29","8.44","8.46","-","0.02","0.24","47,62,652","3.99","8.43","10.67","7.35",7.25,"-","-","09-Apr-2025"
"MAKEINDIA","Nifty India Manufacturing Total Return Index","139.20","139.20","133.55","135.15","135.48","-","0.33","0.24","9,930","0.13","135.15","161.10","119.50",8.96,"09-May-2024","4.48","09-Apr-2025"
"AUTOIETF","Nifty Auto Index","23.07","23.25","22.67","23.06","23.11","-","0.05","0.22","4,61,880","1.07","23.14","28.36","19.72",12.15,"09-May-2024","0.44","09-Apr-2025"
"CONS","Kotak Nifty India Consumption ETF","114.05","114.29","112.67","114.05","114.29","-","0.24","0.21","3,337","0.04","114.15","155.70","102.46",4.04,"09-May-2024","9.19","09-Apr-2025"
"IT","NIFTY IT Index","38.68","38.74","38.00","38.50","38.58","-","0.08","0.21","57,905","0.22","38.72","49.50","32.55",10.4,"09-May-2024","10.30","09-Apr-2025"
